egoid,apps_all,apps_dating,apps_nondating
5123,a01|a05,a01|a05,s05123
5124,a01,a01,s05124
5125,s05125,s05125,s05125
5126,s05126,s05126,s05126
5127,a01,a01,s05127
5128,a01|a05|a07|a08,a01|a05,a07|a08
5129,a08|a16,a16,a08
5130,a07,s05130,a07
5131,a01|a05|a14,a01|a05|a14,s05131
5132,s05132,s05132,s05132
5133,a05,a05,s05133
5134,s05134,s05134,s05134
5135,a05,a05,s05135
5136,a01|a43,a01|a43,s05136
5137,s05137,s05137,s05137
5138,s05138,s05138,s05138
5139,a05|a18,a05|a18,s05139
5140,s05140,s05140,s05140
5141,a01,a01,s05141
5142,a01,a01,s05142
5143,s05143,s05143,s05143
5144,a01|a07,a01,a07
5145,a01|a05|a07|a19,a01|a05|a19,a07
5146,s05146,s05146,s05146
5147,s05147,s05147,s05147
5148,a05,a05,s05148
5149,s05149,s05149,s05149
5150,a05,a05,s05150
5151,s05151,s05151,s05151
5152,s05152,s05152,s05152
5153,a01|a05,a01|a05,s05153
5154,a01|a06|a07,a01,a06|a07
5155,a01|a05|a09|a11|a14|a19|a24|a32|a37|a43,a01|a05|a09|a11|a14|a19|a24|a32|a37|a43,s05155
5156,a01|a03|a07|a08|a09|a10|a11|a14,a01|a03|a09|a11|a14,a07|a08|a10
5157,a07|a09|a10|a13,a09|a13,a07|a10
5158,a01|a05|a17,a01|a05|a17,s05158
5159,a08,s05159,a08
5160,a01|a05|a07,a01|a05,a07
5161,a01|a07,a01,a07
5162,s05162,s05162,s05162
5163,a01,a01,s05163
5164,s05164,s05164,s05164
5165,a11|a24,a11|a24,s05165
5166,a01|a05,a01|a05,s05166
5167,s05167,s05167,s05167
5168,s05168,s05168,s05168
5169,a01|a05,a01|a05,s05169
5170,a07,s05170,a07
5171,s05171,s05171,s05171
5172,s05172,s05172,s05172
5173,s05173,s05173,s05173
5174,s05174,s05174,s05174
5175,s05175,s05175,s05175
5176,a01|a07|a08|a09|a10|a11|a13,a01|a09|a11|a13,a07|a08|a10
5177,a01|a07,a01,a07
5178,a08|a16,a16,a08
5179,a37,a37,s05179
5180,a01,a01,s05180
5181,s05181,s05181,s05181
5182,a01|a07|a08|a09|a10|a11|a13,a01|a09|a11|a13,a07|a08|a10
5183,a01|a05|a07|a10,a01|a05,a07|a10
5184,s05184,s05184,s05184
5185,s05185,s05185,s05185
5186,a07|a08,s05186,a07|a08
5187,s05187,s05187,s05187
5188,a01|a05|a07|a40,a01|a05,a07|a40
5189,a01|a06|a07|a08|a10,a01,a06|a07|a08|a10
5190,a07|a13|a25,a13,a07|a25
5191,s05191,s05191,s05191
5192,a01|a05|a08|a11|a12|a13|a14,a01|a05|a11|a13|a14,a08|a12
5193,a03|a05|a16|a17,a03|a05|a16|a17,s05193
5194,a01|a05|a14,a01|a05|a14,s05194
5195,a01,a01,s05195
5196,a08,s05196,a08
5197,s05197,s05197,s05197
5198,a01,a01,s05198
5199,s05199,s05199,s05199
5200,s05200,s05200,s05200
5201,a07,s05201,a07
5202,a01,a01,s05202
5203,a01|a05|a09|a11|a14|a19|a24|a32|a37|a43,a01|a05|a09|a11|a14|a19|a24|a32|a37|a43,s05203
5204,a09|a11,a09|a11,s05204
5205,a25,s05205,a25
5206,a01|a05|a07|a08,a01|a05,a07|a08
5207,s05207,s05207,s05207
5208,s05208,s05208,s05208
5209,a01|a05,a01|a05,s05209
5210,a01,a01,s05210
5211,a01|a37,a01|a37,s05211
5212,a05,a05,s05212
5213,s05213,s05213,s05213
5214,s05214,s05214,s05214
5215,a01,a01,s05215
5216,s05216,s05216,s05216
5217,a08,s05217,a08
5218,a01|a07|a10|a11|a13,a01|a11|a13,a07|a10
5219,s05219,s05219,s05219
5220,a01,a01,s05220
5221,s05221,s05221,s05221
5222,a05,a05,s05222
5223,a07|a09,a09,a07
5224,a01|a06|a07,a01,a06|a07
5225,a01|a05|a07|a09|a19,a01|a05|a09|a19,a07
5226,a07,s05226,a07
5227,a21,a21,s05227
5228,a01|a07|a10|a11|a13,a01|a11|a13,a07|a10
5229,a05,a05,s05229
5230,a09|a14|a21,a09|a14|a21,s05230
5231,s05231,s05231,s05231
5232,a05|a09|a14,a05|a09|a14,s05232
5233,a01,a01,s05233
5234,s05234,s05234,s05234
5235,a01|a05|a18|a19,a01|a05|a18|a19,s05235
5236,a07,s05236,a07
5237,a07|a09,a09,a07
5238,a07|a08|a10,s05238,a07|a08|a10
5239,a07,s05239,a07
5240,a01|a16|a19,a01|a16|a19,s05240
5241,a01|a05|a07|a10,a01|a05,a07|a10
5242,a07|a08,s05242,a07|a08
5243,a01|a05,a01|a05,s05243
5244,s05244,s05244,s05244
5245,s05245,s05245,s05245
5246,a01|a05|a07|a10,a01|a05,a07|a10
5247,a01|a03|a05|a18,a01|a03|a05|a18,s05247
5248,a37,a37,s05248
5249,s05249,s05249,s05249
5250,s05250,s05250,s05250
5251,a01|a05|a18,a01|a05|a18,s05251
5252,s05252,s05252,s05252
5253,a01,a01,s05253
5254,a01|a05|a07|a19,a01|a05|a19,a07
5255,a03|a05|a16|a17,a03|a05|a16|a17,s05255
5256,a14,a14,s05256
5257,s05257,s05257,s05257
5258,a02,a02,s05258
5259,a37,a37,s05259
5260,a01|a05,a01|a05,s05260
5261,s05261,s05261,s05261
5262,s05262,s05262,s05262
5263,s05263,s05263,s05263
5264,a01|a05|a07,a01|a05,a07
5265,a01|a07,a01,a07
5266,a05|a09|a14,a05|a09|a14,s05266
5267,s05267,s05267,s05267
5268,s05268,s05268,s05268
5269,a01,a01,s05269
5270,s05270,s05270,s05270
5271,a02,a02,s05271
5272,a01|a05,a01|a05,s05272
5273,s05273,s05273,s05273
5274,a06|a10,s05274,a06|a10
5275,s05275,s05275,s05275
5276,a01,a01,s05276
5277,s05277,s05277,s05277
5278,s05278,s05278,s05278
5279,a01|a05|a10|a19|a25|a34,a01|a05|a19|a34,a10|a25
5280,a01|a05|a09|a11|a14|a19|a24|a32|a37|a43,a01|a05|a09|a11|a14|a19|a24|a32|a37|a43,s05280
5281,a07|a08|a10,s05281,a07|a08|a10
5282,s05282,s05282,s05282
5283,s05283,s05283,s05283
5284,s05284,s05284,s05284
5285,a19,a19,s05285
5286,a01|a05|a07|a08|a10,a01|a05,a07|a08|a10
5287,s05287,s05287,s05287
5288,s05288,s05288,s05288
5289,a05|a14,a05|a14,s05289
5290,a07|a08|a10,s05290,a07|a08|a10
5291,a07|a09,a09,a07
5292,a01|a07|a16,a01|a16,a07
5293,a01|a05|a12|a14|a16,a01|a05|a14|a16,a12
5294,a01|a07,a01,a07
5295,s05295,s05295,s05295
5296,a01|a05|a07|a08|a10,a01|a05,a07|a08|a10
5297,s05297,s05297,s05297
5298,a01|a07|a10,a01,a07|a10
5299,a01|a05|a07|a19,a01|a05|a19,a07
5300,s05300,s05300,s05300
5301,a01|a05|a07|a19,a01|a05|a19,a07
5302,a01,a01,s05302
5303,a01,a01,s05303
5304,s05304,s05304,s05304
5305,s05305,s05305,s05305
5306,a01|a05|a17,a01|a05|a17,s05306
5307,s05307,s05307,s05307
5308,s05308,s05308,s05308
5309,s05309,s05309,s05309
5310,a07,s05310,a07
5311,a07,s05311,a07
5312,a01,a01,s05312
5313,a01,a01,s05313
5314,a01|a09,a01|a09,s05314
5315,a01|a05|a07|a08|a10,a01|a05,a07|a08|a10
5316,a01|a05|a07|a19,a01|a05|a19,a07
5317,s05317,s05317,s05317
5318,a07|a08,s05318,a07|a08
5319,a06|a10,s05319,a06|a10
5320,a03|a05|a16|a17,a03|a05|a16|a17,s05320
5321,a06|a10,s05321,a06|a10
5322,s05322,s05322,s05322
5323,a01|a05|a07|a09|a19,a01|a05|a09|a19,a07
5324,s05324,s05324,s05324
5325,a09|a14|a21,a09|a14|a21,s05325
5326,a05,a05,s05326
5327,s05327,s05327,s05327
5328,a05|a14,a05|a14,s05328
5329,a01|a05,a01|a05,s05329
5330,a01|a16|a19,a01|a16|a19,s05330
5331,s05331,s05331,s05331
5332,s05332,s05332,s05332
5333,a01|a05|a07|a09|a19,a01|a05|a09|a19,a07
5334,a01|a05,a01|a05,s05334
5335,s05335,s05335,s05335
5336,a01|a16|a19,a01|a16|a19,s05336
5337,a01|a05|a17,a01|a05|a17,s05337
5338,s05338,s05338,s05338
5339,a07,s05339,a07
5340,a09,a09,s05340
5341,a01,a01,s05341
5342,s05342,s05342,s05342
5343,s05343,s05343,s05343
5344,s05344,s05344,s05344
5345,a07|a08,s05345,a07|a08
5346,s05346,s05346,s05346
5347,s05347,s05347,s05347
5348,s05348,s05348,s05348
5349,s05349,s05349,s05349
5350,a01|a05|a07|a10,a01|a05,a07|a10
5351,a01|a05,a01|a05,s05351
5352,a14,a14,s05352
5353,a01,a01,s05353
5354,a01,a01,s05354
5355,s05355,s05355,s05355
5356,s05356,s05356,s05356
5357,s05357,s05357,s05357
5358,a01,a01,s05358
5359,a07,s05359,a07
5360,a01|a07,a01,a07
5361,a05|a14,a05|a14,s05361
5362,s05362,s05362,s05362
5363,s05363,s05363,s05363
5364,a01|a06|a10|a14|a19,a01|a14|a19,a06|a10
5365,s05365,s05365,s05365
5366,a01|a05|a07|a19,a01|a05|a19,a07
5367,s05367,s05367,s05367
5368,a09|a14|a21,a09|a14|a21,s05368
5369,s05369,s05369,s05369
5370,a07|a08|a09|a10,a09,a07|a08|a10
5371,s05371,s05371,s05371
5372,a01,a01,s05372
5373,a01,a01,s05373
5374,a07|a09,a09,a07
5375,a07|a09,a09,a07
5376,s05376,s05376,s05376
5377,a01,a01,s05377
5378,a07|a09|a10|a13,a09|a13,a07|a10
5379,s05379,s05379,s05379
5380,a01|a03|a05|a18,a01|a03|a05|a18,s05380
5381,a07|a08,s05381,a07|a08
5382,s05382,s05382,s05382
5383,a01|a05|a07,a01|a05,a07
5384,a01,a01,s05384
5385,a01|a05|a07|a19|a32,a01|a05|a19|a32,a07
5386,s05386,s05386,s05386
5387,s05387,s05387,s05387
5388,a01|a05|a07|a08,a01|a05,a07|a08
5389,s05389,s05389,s05389
5390,s05390,s05390,s05390
5391,a07|a08|a10,s05391,a07|a08|a10
5392,a01,a01,s05392
5393,s05393,s05393,s05393
5394,a01,a01,s05394
5395,s05395,s05395,s05395
5396,a19,a19,s05396
5397,a37,a37,s05397
5398,s05398,s05398,s05398
5399,a03|a05|a16|a17,a03|a05|a16|a17,s05399
5400,a01|a05,a01|a05,s05400
5401,s05401,s05401,s05401
5402,a19,a19,s05402
5403,a01,a01,s05403
5404,s05404,s05404,s05404
5405,s05405,s05405,s05405
5406,a03|a07|a08,a03,a07|a08
5407,a05|a09|a14,a05|a09|a14,s05407
5408,s05408,s05408,s05408
5409,a05,a05,s05409
5410,s05410,s05410,s05410
5411,s05411,s05411,s05411
5412,s05412,s05412,s05412
5413,s05413,s05413,s05413
5414,a01|a05|a19,a01|a05|a19,s05414
5415,s05415,s05415,s05415
5416,a01|a05|a07|a09|a19,a01|a05|a09|a19,a07
5417,a01|a16|a19,a01|a16|a19,s05417
5418,a01|a05|a09|a11|a14|a19|a24|a32|a37|a43,a01|a05|a09|a11|a14|a19|a24|a32|a37|a43,s05418
5419,a01|a05|a07|a19|a32,a01|a05|a19|a32,a07
5420,s05420,s05420,s05420
5421,a03|a07|a08,a03,a07|a08
5422,s05422,s05422,s05422
5423,a01|a05|a07|a08|a10,a01|a05,a07|a08|a10
5424,s05424,s05424,s05424
5425,s05425,s05425,s05425
5426,s05426,s05426,s05426
5427,s05427,s05427,s05427
5428,a09,a09,s05428
5429,a01|a05,a01|a05,s05429
5430,a07,s05430,a07
5431,a01|a07|a10|a11|a13,a01|a11|a13,a07|a10
5432,a01|a07|a25,a01,a07|a25
5433,s05433,s05433,s05433
5434,a01|a07|a10|a11|a13,a01|a11|a13,a07|a10
5435,a09,a09,s05435
5436,s05436,s05436,s05436
5437,a01|a05|a08|a11|a12|a13|a14,a01|a05|a11|a13|a14,a08|a12
5438,a07|a09,a09,a07
5439,s05439,s05439,s05439
5440,s05440,s05440,s05440
5441,s05441,s05441,s05441
5442,a01|a07,a01,a07
5443,a01|a05|a07|a08|a10,a01|a05,a07|a08|a10
5444,a07|a13|a25,a13,a07|a25
5445,a07,s05445,a07
5446,a01|a05,a01|a05,s05446
5447,a01|a05|a14,a01|a05|a14,s05447
5448,s05448,s05448,s05448
5449,a01,a01,s05449
5450,a01|a16|a19,a01|a16|a19,s05450
5451,a25,s05451,a25
5452,a01,a01,s05452
5453,s05453,s05453,s05453
5454,a07|a08|a10,s05454,a07|a08|a10
5455,a01,a01,s05455
5456,a09,a09,s05456
5457,s05457,s05457,s05457
5458,s05458,s05458,s05458
5459,s05459,s05459,s05459
5460,a01|a07,a01,a07
5461,a07|a08|a09|a10,a09,a07|a08|a10
5462,s05462,s05462,s05462
5463,a01|a06|a07,a01,a06|a07
5464,s05464,s05464,s05464
5465,s05465,s05465,s05465
5466,a01|a05,a01|a05,s05466
5467,a01|a05|a07|a19,a01|a05|a19,a07
5468,s05468,s05468,s05468
5469,a08,s05469,a08
5470,s05470,s05470,s05470
5471,s05471,s05471,s05471
5472,s05472,s05472,s05472
5473,a01|a16|a19,a01|a16|a19,s05473
5474,a37,a37,s05474
5475,s05475,s05475,s05475
5476,a07|a09|a10|a13,a09|a13,a07|a10
5477,s05477,s05477,s05477
5478,a01|a05|a07|a40,a01|a05,a07|a40
5479,a01,a01,s05479
5480,a01,a01,s05480
5481,a05|a18,a05|a18,s05481
5482,s05482,s05482,s05482
5483,a03|a07|a08,a03,a07|a08
5484,a07|a08,s05484,a07|a08
5485,a07|a08,s05485,a07|a08
5486,a07,s05486,a07
5487,a01,a01,s05487
5488,a01|a05|a07|a10|a11,a01|a05|a11,a07|a10
5489,a01|a05,a01|a05,s05489
5490,s05490,s05490,s05490
5491,a01|a05|a07|a40,a01|a05,a07|a40
5492,a07|a10,s05492,a07|a10
5493,s05493,s05493,s05493
5494,s05494,s05494,s05494
5495,a07|a08|a10,s05495,a07|a08|a10
5496,a01|a05,a01|a05,s05496
5497,s05497,s05497,s05497
5498,a01|a05,a01|a05,s05498
5499,s05499,s05499,s05499
5500,a07|a09,a09,a07
5501,s05501,s05501,s05501
5502,a05,a05,s05502
5503,a01|a05|a07|a09|a19,a01|a05|a09|a19,a07
5504,a07|a09|a10|a13,a09|a13,a07|a10
5505,a01,a01,s05505
5506,a01|a06|a07,a01,a06|a07
5507,s05507,s05507,s05507
5508,a05|a14,a05|a14,s05508
5509,a01,a01,s05509
5510,a11|a24,a11|a24,s05510
5511,a01|a07|a10,a01,a07|a10
5512,s05512,s05512,s05512
5513,a01|a05|a18|a21,a01|a05|a18|a21,s05513
5514,a07,s05514,a07
5515,a01,a01,s05515
5516,a03|a05|a16|a17,a03|a05|a16|a17,s05516
5517,s05517,s05517,s05517
5518,s05518,s05518,s05518
5519,a01|a05,a01|a05,s05519
5520,a05|a09|a14,a05|a09|a14,s05520
5521,a01|a05,a01|a05,s05521
5522,s05522,s05522,s05522
5523,a07|a09,a09,a07
5524,s05524,s05524,s05524
5525,s05525,s05525,s05525
5526,a21,a21,s05526
5527,s05527,s05527,s05527
5528,s05528,s05528,s05528
5529,s05529,s05529,s05529
5530,s05530,s05530,s05530
5531,a01|a07|a10,a01,a07|a10
5532,s05532,s05532,s05532
5533,a01|a05,a01|a05,s05533
5534,s05534,s05534,s05534
5535,s05535,s05535,s05535
5536,s05536,s05536,s05536
5537,a01|a03|a07|a08|a09|a10|a11|a14,a01|a03|a09|a11|a14,a07|a08|a10
5538,s05538,s05538,s05538
5539,s05539,s05539,s05539
5540,a01,a01,s05540
5541,a01|a07|a10,a01,a07|a10
5542,s05542,s05542,s05542
5543,a01,a01,s05543
5544,a01|a05|a07,a01|a05,a07
5545,s05545,s05545,s05545
5546,a01|a05|a07|a19,a01|a05|a19,a07
5547,s05547,s05547,s05547
5548,s05548,s05548,s05548
5549,s05549,s05549,s05549
5550,a01|a05|a07|a08,a01|a05,a07|a08
5551,a07|a08,s05551,a07|a08
5552,a01,a01,s05552
5553,a01|a05|a08|a11|a12|a13|a14,a01|a05|a11|a13|a14,a08|a12
5554,a01|a05|a12|a14|a16,a01|a05|a14|a16,a12
5555,s05555,s05555,s05555
5556,a05,a05,s05556
5557,a01|a05,a01|a05,s05557
5558,s05558,s05558,s05558
5559,a03|a07|a08,a03,a07|a08
5560,a01|a03|a06|a07|a08|a09|a10|a11|a13|a14|a43,a01|a03|a09|a11|a13|a14|a43,a06|a07|a08|a10
5561,s05561,s05561,s05561
5562,a01|a05|a14,a01|a05|a14,s05562
5563,a01|a05|a14,a01|a05|a14,s05563
5564,s05564,s05564,s05564
5565,s05565,s05565,s05565
5566,a21,a21,s05566
5567,a01|a06|a07|a08|a10,a01,a06|a07|a08|a10
5568,a01|a05,a01|a05,s05568
5569,a01|a03|a06|a07|a08|a09|a10|a11|a13|a14|a43,a01|a03|a09|a11|a13|a14|a43,a06|a07|a08|a10
5570,s05570,s05570,s05570
5571,a03|a05|a16|a17,a03|a05|a16|a17,s05571
5572,s05572,s05572,s05572
5573,a07|a08,s05573,a07|a08
5574,a01|a05,a01|a05,s05574
5575,a03|a05|a16|a17,a03|a05|a16|a17,s05575
5576,a01|a06|a07|a08|a10,a01,a06|a07|a08|a10
5577,s05577,s05577,s05577
5578,s05578,s05578,s05578
5579,s05579,s05579,s05579
5580,a09|a11|a37|a43,a09|a11|a37|a43,s05580
5581,a01|a05,a01|a05,s05581
5582,a11|a24,a11|a24,s05582
5583,a05,a05,s05583
5584,a07|a09,a09,a07
5585,a09|a11,a09|a11,s05585
5586,s05586,s05586,s05586
5587,a01|a05|a19,a01|a05|a19,s05587
5588,s05588,s05588,s05588
5589,a01|a05|a09|a11|a14|a19|a24|a32|a37|a43,a01|a05|a09|a11|a14|a19|a24|a32|a37|a43,s05589
5590,a01|a05|a07|a40,a01|a05,a07|a40
5591,a01|a07|a25,a01,a07|a25
5592,a01|a07,a01,a07
5593,a05|a14,a05|a14,s05593
5594,a01|a07|a25,a01,a07|a25
5595,s05595,s05595,s05595
5596,a01|a05,a01|a05,s05596
5597,s05597,s05597,s05597
5598,a01|a05|a19,a01|a05|a19,s05598
5599,a01|a05|a18|a21,a01|a05|a18|a21,s05599
5600,s05600,s05600,s05600
5601,a01|a05|a14,a01|a05|a14,s05601
5602,s05602,s05602,s05602
5603,s05603,s05603,s05603
5604,s05604,s05604,s05604
5605,s05605,s05605,s05605
5606,s05606,s05606,s05606
5607,a01|a05|a18|a21,a01|a05|a18|a21,s05607
5608,a01|a03|a06|a07|a08|a09|a10|a11|a13|a14|a43,a01|a03|a09|a11|a13|a14|a43,a06|a07|a08|a10
5609,a05,a05,s05609
5610,s05610,s05610,s05610
5611,s05611,s05611,s05611
5612,s05612,s05612,s05612
5613,s05613,s05613,s05613
5614,a01|a05|a07|a08|a10,a01|a05,a07|a08|a10
5615,a07|a08,s05615,a07|a08
5616,s05616,s05616,s05616
5617,a01,a01,s05617
5618,a01|a05,a01|a05,s05618
5619,a01|a07|a10|a11|a13,a01|a11|a13,a07|a10
5620,a08,s05620,a08
5621,a07|a09,a09,a07
5622,a01|a05|a12|a14|a16,a01|a05|a14|a16,a12
5623,s05623,s05623,s05623
5624,a01|a07|a25,a01,a07|a25
5625,s05625,s05625,s05625
5626,a01,a01,s05626
5627,a01|a07,a01,a07
5628,a01|a03|a05|a18,a01|a03|a05|a18,s05628
5629,s05629,s05629,s05629
5630,a01|a05,a01|a05,s05630
5631,a01|a05,a01|a05,s05631
5632,s05632,s05632,s05632
5633,a07|a08,s05633,a07|a08
5634,a01|a06|a10|a14|a19,a01|a14|a19,a06|a10
5635,a01,a01,s05635
5636,a05,a05,s05636
5637,s05637,s05637,s05637
5638,a01|a07|a16,a01|a16,a07
5639,a01|a37,a01|a37,s05639
5640,a05|a11,a05|a11,s05640
5641,s05641,s05641,s05641
5642,s05642,s05642,s05642
5643,a25,s05643,a25
5644,s05644,s05644,s05644
5645,s05645,s05645,s05645
5646,s05646,s05646,s05646
5647,a08|a16,a16,a08
5648,a09|a13,a09|a13,s05648
5649,a01|a05,a01|a05,s05649
5650,s05650,s05650,s05650
5651,a07|a09,a09,a07
5652,a01|a07|a16,a01|a16,a07
5653,s05653,s05653,s05653
5654,a05,a05,s05654
5655,s05655,s05655,s05655
5656,a01|a03|a06|a07|a08|a09|a10|a11|a13|a14|a43,a01|a03|a09|a11|a13|a14|a43,a06|a07|a08|a10
5657,s05657,s05657,s05657
5658,a05|a11,a05|a11,s05658
5659,s05659,s05659,s05659
5660,a01,a01,s05660
5661,s05661,s05661,s05661
5662,s05662,s05662,s05662
5663,s05663,s05663,s05663
5664,s05664,s05664,s05664
5665,a01|a05,a01|a05,s05665
5666,a01|a05,a01|a05,s05666
5667,a07|a10,s05667,a07|a10
5668,s05668,s05668,s05668
5669,s05669,s05669,s05669
5670,s05670,s05670,s05670
5671,a07,s05671,a07
5672,a05,a05,s05672
5673,a01|a05|a17,a01|a05|a17,s05673
5674,s05674,s05674,s05674
5675,a07,s05675,a07
5676,s05676,s05676,s05676
5677,a05,a05,s05677
5678,a01,a01,s05678
5679,s05679,s05679,s05679
5680,a01|a03|a05|a18,a01|a03|a05|a18,s05680
5681,a01,a01,s05681
5682,a19,a19,s05682
5683,s05683,s05683,s05683
5684,s05684,s05684,s05684
5685,s05685,s05685,s05685
5686,a06|a10,s05686,a06|a10
5687,s05687,s05687,s05687
5688,s05688,s05688,s05688
5689,s05689,s05689,s05689
5690,a01|a05|a07|a10|a11,a01|a05|a11,a07|a10
5691,a01,a01,s05691
5692,s05692,s05692,s05692
5693,s05693,s05693,s05693
5694,a01|a37,a01|a37,s05694
5695,a01,a01,s05695
5696,s05696,s05696,s05696
5697,s05697,s05697,s05697
5698,a01|a07|a25,a01,a07|a25
5699,s05699,s05699,s05699
5700,a01,a01,s05700
5701,s05701,s05701,s05701
5702,a07,s05702,a07
5703,a01,a01,s05703
5704,a01|a07|a08|a09|a10|a11|a13,a01|a09|a11|a13,a07|a08|a10
5705,a09|a11,a09|a11,s05705
5706,s05706,s05706,s05706
5707,a01|a06|a07,a01,a06|a07
5708,s05708,s05708,s05708
5709,a01|a05|a14,a01|a05|a14,s05709
5710,s05710,s05710,s05710
5711,a01|a05|a10|a19|a25|a34,a01|a05|a19|a34,a10|a25
5712,a07,s05712,a07
5713,a01,a01,s05713
5714,s05714,s05714,s05714
5715,a01|a06|a07,a01,a06|a07
5716,s05716,s05716,s05716
5717,a01,a01,s05717
5718,a01|a05|a12|a14|a16,a01|a05|a14|a16,a12
5719,s05719,s05719,s05719
5720,s05720,s05720,s05720
5721,a01,a01,s05721
5722,a01|a07,a01,a07
5723,a01|a05|a10|a19|a25|a34,a01|a05|a19|a34,a10|a25
5724,s05724,s05724,s05724
5725,s05725,s05725,s05725
5726,a01|a05|a12|a14|a16,a01|a05|a14|a16,a12
5727,s05727,s05727,s05727
5728,a01|a05|a07,a01|a05,a07
5729,a01|a05|a07|a19,a01|a05|a19,a07
5730,a05,a05,s05730
5731,a05|a18,a05|a18,s05731
5732,s05732,s05732,s05732
5733,s05733,s05733,s05733
5734,s05734,s05734,s05734
5735,s05735,s05735,s05735
5736,s05736,s05736,s05736
5737,a01|a05|a19,a01|a05|a19,s05737
5738,s05738,s05738,s05738
5739,s05739,s05739,s05739
5740,a01|a05|a07|a08,a01|a05,a07|a08
5741,a01|a37,a01|a37,s05741
5742,s05742,s05742,s05742
5743,a01,a01,s05743
5744,s05744,s05744,s05744
5745,a05|a10|a14|a17|a21,a05|a14|a17|a21,a10
5746,a08,s05746,a08
5747,a01|a05,a01|a05,s05747
5748,s05748,s05748,s05748
5749,a01,a01,s05749
5750,s05750,s05750,s05750
5751,s05751,s05751,s05751
5752,a01|a05|a10|a19|a25|a34,a01|a05|a19|a34,a10|a25
5753,a08,s05753,a08
5754,s05754,s05754,s05754
5755,a05|a09|a14,a05|a09|a14,s05755
5756,a01|a05,a01|a05,s05756
5757,s05757,s05757,s05757
5758,a01|a07,a01,a07
5759,a01|a37,a01|a37,s05759
5760,s05760,s05760,s05760
5761,a01|a07|a08|a09|a10|a11|a13,a01|a09|a11|a13,a07|a08|a10
5762,a01|a05,a01|a05,s05762
5763,a01|a07,a01,a07
5764,a01,a01,s05764
5765,a07|a08,s05765,a07|a08
5766,a01|a05,a01|a05,s05766
5767,a01|a05|a07|a19|a32,a01|a05|a19|a32,a07
5768,s05768,s05768,s05768
5769,s05769,s05769,s05769
5770,a01,a01,s05770
5771,a01,a01,s05771
5772,a01|a06|a07|a08|a10,a01,a06|a07|a08|a10
5773,a07|a09,a09,a07
5774,s05774,s05774,s05774
5775,s05775,s05775,s05775
5776,a01|a05,a01|a05,s05776
5777,a01,a01,s05777
5778,a01,a01,s05778
5779,a07|a09,a09,a07
5780,s05780,s05780,s05780
5781,a07,s05781,a07
5782,s05782,s05782,s05782
5783,a01|a05|a14,a01|a05|a14,s05783
5784,s05784,s05784,s05784
5785,a01|a07|a10,a01,a07|a10
5786,a07|a09,a09,a07
5787,s05787,s05787,s05787
5788,a01|a05|a18,a01|a05|a18,s05788
5789,s05789,s05789,s05789
5790,a01|a05|a14,a01|a05|a14,s05790
5791,a01|a07,a01,a07
5792,a01|a07,a01,a07
5793,s05793,s05793,s05793
5794,a01|a05|a12|a14|a16,a01|a05|a14|a16,a12
5795,a01|a05|a07|a19,a01|a05|a19,a07
5796,s05796,s05796,s05796
5797,s05797,s05797,s05797
5798,a01|a07|a10|a11|a13,a01|a11|a13,a07|a10
5799,a01,a01,s05799
5800,a07,s05800,a07
5801,a01,a01,s05801
5802,a01|a05|a07,a01|a05,a07
5803,a01,a01,s05803
5804,a01|a05|a07|a19,a01|a05|a19,a07
5805,a01|a06|a07,a01,a06|a07
5806,a01|a05|a07|a19,a01|a05|a19,a07
5807,a08,s05807,a08
5808,s05808,s05808,s05808
5809,a01|a03|a07|a08|a09|a10|a11|a14,a01|a03|a09|a11|a14,a07|a08|a10
5810,a01|a05|a07|a08,a01|a05,a07|a08
5811,s05811,s05811,s05811
5812,s05812,s05812,s05812
5813,s05813,s05813,s05813
5814,s05814,s05814,s05814
5815,a08,s05815,a08
5816,a01,a01,s05816
5817,a01,a01,s05817
5818,a01,a01,s05818
5819,a05|a10|a14|a17|a21,a05|a14|a17|a21,a10
5820,a01|a03|a05|a18,a01|a03|a05|a18,s05820
5821,a01|a05|a10|a19|a25|a34,a01|a05|a19|a34,a10|a25
5822,s05822,s05822,s05822
5823,s05823,s05823,s05823
5824,a01|a05,a01|a05,s05824
5825,a05,a05,s05825
5826,a05|a14,a05|a14,s05826
5827,a07,s05827,a07
5828,a01|a05|a12|a14|a16,a01|a05|a14|a16,a12
5829,s05829,s05829,s05829
5830,a01,a01,s05830
5831,s05831,s05831,s05831
5832,s05832,s05832,s05832
5833,s05833,s05833,s05833
5834,a01|a05|a17,a01|a05|a17,s05834
5835,s05835,s05835,s05835
5836,a05|a14,a05|a14,s05836
5837,s05837,s05837,s05837
5838,a01|a05,a01|a05,s05838
5839,a01|a05|a07|a10|a11,a01|a05|a11,a07|a10
5840,a01|a05|a17,a01|a05|a17,s05840
5841,s05841,s05841,s05841
5842,a01|a07,a01,a07
5843,a01|a07|a08|a09|a10|a11|a13,a01|a09|a11|a13,a07|a08|a10
5844,s05844,s05844,s05844
5845,s05845,s05845,s05845
5846,s05846,s05846,s05846
5847,s05847,s05847,s05847
5848,a01|a06|a10|a14|a19,a01|a14|a19,a06|a10
5849,a01,a01,s05849
5850,a07,s05850,a07
5851,a01,a01,s05851
5852,a01,a01,s05852
5853,a01,a01,s05853
5854,a01|a05|a10|a19|a25|a34,a01|a05|a19|a34,a10|a25
5855,s05855,s05855,s05855
