,numeric_id,egoid,race_ethnicity,agerange,demographic_bucket,demo_desc,age,empirical_egos_list,assigned_empego_for_venues,assigned_empego,venue_list,init_ser_cat,init_cas_cat,init_pers_cat,any_serious,assigned_empego_rel,appslist_rel,assigned_empego_norel,appslist_norel,appslist
435,4995,s04995,blackNH,21to29,4,B/21+,28.627397260273973,"['e002', 'e004', 'e006', 'e007', 'e008', 'e013', 'e039', 'e040', 'e063', 'e070', 'e075', 'e081', 'e086', 'e093', 'e094', 'e096', 'e097', 'e099', 'e100', 'e105', 'e115', 'e121', 'e128', 'e133', 'e134', 'e137', 'e140', 'e148', 'e149', 'e153', 'e154', 'e155', 'e156', 'e157', 'e160', 'e164', 'e166', 'e171', 'e181', 'e184', 'e192', 'e193', 'e195', 'e197', 'e198', 'e199', 'e200', 'e202', 'e203', 'e204', 'e205', 'e206', 'e207', 'e208', 'e209', 'e211', 'e212', 'e214', 'e215', 'e216', 'e220', 'e223', 'e227', 'e229', 'e230', 'e233', 'e234', 'e235', 'e237', 'e238', 'e240', 'e242', 'e244', 'e246', 'e248', 'e254', 'e259', 'e265', 'e266', 'e268', 'e272', 'e278', 'e293', 'e294', 'e295', 'e315', 'e320', 'e325', 'e326', 'e333', 'e337', 'e339', 'e341', 'e342', 'e351', 'e357', 'e358', 'e360', 'e361', 'e364', 'e370', 'e372', 'e375', 'e380', 'e384', 'e388', 'e391', 'e396', 'e413', 'e417', 'e422', 'e426', 'e430', 'e437', 'e438', 'e439', 'e443', 'e444', 'e446', 'e449', 'e455', 'e456', 'e463', 'e464', 'e465', 'e471', 'e488', 'e490', 'e491', 'e492', 'e494', 'e495', 'e496', 'e497', 'e498', 'e499', 'e500', 'e502', 'e503', 'e504', 'e505', 'e509', 'e510', 'e511', 'e512', 'e513', 'e514', 'e515', 'e517', 'e521', 'e522', 'e523', 'e524', 'e525', 'e526', 'e535', 'e538', 'e540', 'e541', 'e543', 'e545', 'e548', 'e549', 'e550', 'e552', 'e553', 'e554', 'e557', 'e565', 'e572', 'e573', 'e575', 'e589', 'e591', 'e592', 'e595', 'e598', 'e599', 'e600', 'e603', 'e607', 'e608', 'e610', 'e611', 'e614', 'e615', 'e616', 'e619', 'e620', 'e626', 'e628', 'e638', 'e639']",e195,e195,v0096|v0109|v0489|v0992,0,1,1,0,e195,a01|a07|a25,e446,a14,a14
154,5000,s05000,blackNH,21to29,4,B/21+,23.252054794520543,"['e002', 'e004', 'e006', 'e007', 'e008', 'e013', 'e039', 'e040', 'e063', 'e070', 'e075', 'e081', 'e086', 'e093', 'e094', 'e096', 'e097', 'e099', 'e100', 'e105', 'e115', 'e121', 'e128', 'e133', 'e134', 'e137', 'e140', 'e148', 'e149', 'e153', 'e154', 'e155', 'e156', 'e157', 'e160', 'e164', 'e166', 'e171', 'e181', 'e184', 'e192', 'e193', 'e195', 'e197', 'e198', 'e199', 'e200', 'e202', 'e203', 'e204', 'e205', 'e206', 'e207', 'e208', 'e209', 'e211', 'e212', 'e214', 'e215', 'e216', 'e220', 'e223', 'e227', 'e229', 'e230', 'e233', 'e234', 'e235', 'e237', 'e238', 'e240', 'e242', 'e244', 'e246', 'e248', 'e254', 'e259', 'e265', 'e266', 'e268', 'e272', 'e278', 'e293', 'e294', 'e295', 'e315', 'e320', 'e325', 'e326', 'e333', 'e337', 'e339', 'e341', 'e342', 'e351', 'e357', 'e358', 'e360', 'e361', 'e364', 'e370', 'e372', 'e375', 'e380', 'e384', 'e388', 'e391', 'e396', 'e413', 'e417', 'e422', 'e426', 'e430', 'e437', 'e438', 'e439', 'e443', 'e444', 'e446', 'e449', 'e455', 'e456', 'e463', 'e464', 'e465', 'e471', 'e488', 'e490', 'e491', 'e492', 'e494', 'e495', 'e496', 'e497', 'e498', 'e499', 'e500', 'e502', 'e503', 'e504', 'e505', 'e509', 'e510', 'e511', 'e512', 'e513', 'e514', 'e515', 'e517', 'e521', 'e522', 'e523', 'e524', 'e525', 'e526', 'e535', 'e538', 'e540', 'e541', 'e543', 'e545', 'e548', 'e549', 'e550', 'e552', 'e553', 'e554', 'e557', 'e565', 'e572', 'e573', 'e575', 'e589', 'e591', 'e592', 'e595', 'e598', 'e599', 'e600', 'e603', 'e607', 'e608', 'e610', 'e611', 'e614', 'e615', 'e616', 'e619', 'e620', 'e626', 'e628', 'e638', 'e639']",e514,e514,v0489|v0975|v0994|v1000,0,1,1,0,e514,a01|a05,e199,s05000,s05000
230,5002,s05002,blackNH,21to29,4,B/21+,29.48493150684932,"['e002', 'e004', 'e006', 'e007', 'e008', 'e013', 'e039', 'e040', 'e063', 'e070', 'e075', 'e081', 'e086', 'e093', 'e094', 'e096', 'e097', 'e099', 'e100', 'e105', 'e115', 'e121', 'e128', 'e133', 'e134', 'e137', 'e140', 'e148', 'e149', 'e153', 'e154', 'e155', 'e156', 'e157', 'e160', 'e164', 'e166', 'e171', 'e181', 'e184', 'e192', 'e193', 'e195', 'e197', 'e198', 'e199', 'e200', 'e202', 'e203', 'e204', 'e205', 'e206', 'e207', 'e208', 'e209', 'e211', 'e212', 'e214', 'e215', 'e216', 'e220', 'e223', 'e227', 'e229', 'e230', 'e233', 'e234', 'e235', 'e237', 'e238', 'e240', 'e242', 'e244', 'e246', 'e248', 'e254', 'e259', 'e265', 'e266', 'e268', 'e272', 'e278', 'e293', 'e294', 'e295', 'e315', 'e320', 'e325', 'e326', 'e333', 'e337', 'e339', 'e341', 'e342', 'e351', 'e357', 'e358', 'e360', 'e361', 'e364', 'e370', 'e372', 'e375', 'e380', 'e384', 'e388', 'e391', 'e396', 'e413', 'e417', 'e422', 'e426', 'e430', 'e437', 'e438', 'e439', 'e443', 'e444', 'e446', 'e449', 'e455', 'e456', 'e463', 'e464', 'e465', 'e471', 'e488', 'e490', 'e491', 'e492', 'e494', 'e495', 'e496', 'e497', 'e498', 'e499', 'e500', 'e502', 'e503', 'e504', 'e505', 'e509', 'e510', 'e511', 'e512', 'e513', 'e514', 'e515', 'e517', 'e521', 'e522', 'e523', 'e524', 'e525', 'e526', 'e535', 'e538', 'e540', 'e541', 'e543', 'e545', 'e548', 'e549', 'e550', 'e552', 'e553', 'e554', 'e557', 'e565', 'e572', 'e573', 'e575', 'e589', 'e591', 'e592', 'e595', 'e598', 'e599', 'e600', 'e603', 'e607', 'e608', 'e610', 'e611', 'e614', 'e615', 'e616', 'e619', 'e620', 'e626', 'e628', 'e638', 'e639']",e007,e007,v0004|v0292|v0975|v0994,1+,0,1,1,e495,s05002,e007,s05002,s05002
172,5007,s05007,blackNH,21to29,4,B/21+,27.734246575342464,"['e002', 'e004', 'e006', 'e007', 'e008', 'e013', 'e039', 'e040', 'e063', 'e070', 'e075', 'e081', 'e086', 'e093', 'e094', 'e096', 'e097', 'e099', 'e100', 'e105', 'e115', 'e121', 'e128', 'e133', 'e134', 'e137', 'e140', 'e148', 'e149', 'e153', 'e154', 'e155', 'e156', 'e157', 'e160', 'e164', 'e166', 'e171', 'e181', 'e184', 'e192', 'e193', 'e195', 'e197', 'e198', 'e199', 'e200', 'e202', 'e203', 'e204', 'e205', 'e206', 'e207', 'e208', 'e209', 'e211', 'e212', 'e214', 'e215', 'e216', 'e220', 'e223', 'e227', 'e229', 'e230', 'e233', 'e234', 'e235', 'e237', 'e238', 'e240', 'e242', 'e244', 'e246', 'e248', 'e254', 'e259', 'e265', 'e266', 'e268', 'e272', 'e278', 'e293', 'e294', 'e295', 'e315', 'e320', 'e325', 'e326', 'e333', 'e337', 'e339', 'e341', 'e342', 'e351', 'e357', 'e358', 'e360', 'e361', 'e364', 'e370', 'e372', 'e375', 'e380', 'e384', 'e388', 'e391', 'e396', 'e413', 'e417', 'e422', 'e426', 'e430', 'e437', 'e438', 'e439', 'e443', 'e444', 'e446', 'e449', 'e455', 'e456', 'e463', 'e464', 'e465', 'e471', 'e488', 'e490', 'e491', 'e492', 'e494', 'e495', 'e496', 'e497', 'e498', 'e499', 'e500', 'e502', 'e503', 'e504', 'e505', 'e509', 'e510', 'e511', 'e512', 'e513', 'e514', 'e515', 'e517', 'e521', 'e522', 'e523', 'e524', 'e525', 'e526', 'e535', 'e538', 'e540', 'e541', 'e543', 'e545', 'e548', 'e549', 'e550', 'e552', 'e553', 'e554', 'e557', 'e565', 'e572', 'e573', 'e575', 'e589', 'e591', 'e592', 'e595', 'e598', 'e599', 'e600', 'e603', 'e607', 'e608', 'e610', 'e611', 'e614', 'e615', 'e616', 'e619', 'e620', 'e626', 'e628', 'e638', 'e639']",e513,e513,v0490|v0573|v0661,1+,0,1,1,e396,a01|a05|a07|a19,e513,a07|a13|a25,a01|a05|a07|a19
19,5052,s05052,blackNH,21to29,4,B/21+,28.638356164383563,"['e002', 'e004', 'e006', 'e007', 'e008', 'e013', 'e039', 'e040', 'e063', 'e070', 'e075', 'e081', 'e086', 'e093', 'e094', 'e096', 'e097', 'e099', 'e100', 'e105', 'e115', 'e121', 'e128', 'e133', 'e134', 'e137', 'e140', 'e148', 'e149', 'e153', 'e154', 'e155', 'e156', 'e157', 'e160', 'e164', 'e166', 'e171', 'e181', 'e184', 'e192', 'e193', 'e195', 'e197', 'e198', 'e199', 'e200', 'e202', 'e203', 'e204', 'e205', 'e206', 'e207', 'e208', 'e209', 'e211', 'e212', 'e214', 'e215', 'e216', 'e220', 'e223', 'e227', 'e229', 'e230', 'e233', 'e234', 'e235', 'e237', 'e238', 'e240', 'e242', 'e244', 'e246', 'e248', 'e254', 'e259', 'e265', 'e266', 'e268', 'e272', 'e278', 'e293', 'e294', 'e295', 'e315', 'e320', 'e325', 'e326', 'e333', 'e337', 'e339', 'e341', 'e342', 'e351', 'e357', 'e358', 'e360', 'e361', 'e364', 'e370', 'e372', 'e375', 'e380', 'e384', 'e388', 'e391', 'e396', 'e413', 'e417', 'e422', 'e426', 'e430', 'e437', 'e438', 'e439', 'e443', 'e444', 'e446', 'e449', 'e455', 'e456', 'e463', 'e464', 'e465', 'e471', 'e488', 'e490', 'e491', 'e492', 'e494', 'e495', 'e496', 'e497', 'e498', 'e499', 'e500', 'e502', 'e503', 'e504', 'e505', 'e509', 'e510', 'e511', 'e512', 'e513', 'e514', 'e515', 'e517', 'e521', 'e522', 'e523', 'e524', 'e525', 'e526', 'e535', 'e538', 'e540', 'e541', 'e543', 'e545', 'e548', 'e549', 'e550', 'e552', 'e553', 'e554', 'e557', 'e565', 'e572', 'e573', 'e575', 'e589', 'e591', 'e592', 'e595', 'e598', 'e599', 'e600', 'e603', 'e607', 'e608', 'e610', 'e611', 'e614', 'e615', 'e616', 'e619', 'e620', 'e626', 'e628', 'e638', 'e639']",e526,e526,v0517,1+,0,1,1,e244,a01|a07|a10,e526,a07|a09,a01|a07|a10
9,5063,s05063,blackNH,21to29,4,B/21+,28.356164383561644,"['e002', 'e004', 'e006', 'e007', 'e008', 'e013', 'e039', 'e040', 'e063', 'e070', 'e075', 'e081', 'e086', 'e093', 'e094', 'e096', 'e097', 'e099', 'e100', 'e105', 'e115', 'e121', 'e128', 'e133', 'e134', 'e137', 'e140', 'e148', 'e149', 'e153', 'e154', 'e155', 'e156', 'e157', 'e160', 'e164', 'e166', 'e171', 'e181', 'e184', 'e192', 'e193', 'e195', 'e197', 'e198', 'e199', 'e200', 'e202', 'e203', 'e204', 'e205', 'e206', 'e207', 'e208', 'e209', 'e211', 'e212', 'e214', 'e215', 'e216', 'e220', 'e223', 'e227', 'e229', 'e230', 'e233', 'e234', 'e235', 'e237', 'e238', 'e240', 'e242', 'e244', 'e246', 'e248', 'e254', 'e259', 'e265', 'e266', 'e268', 'e272', 'e278', 'e293', 'e294', 'e295', 'e315', 'e320', 'e325', 'e326', 'e333', 'e337', 'e339', 'e341', 'e342', 'e351', 'e357', 'e358', 'e360', 'e361', 'e364', 'e370', 'e372', 'e375', 'e380', 'e384', 'e388', 'e391', 'e396', 'e413', 'e417', 'e422', 'e426', 'e430', 'e437', 'e438', 'e439', 'e443', 'e444', 'e446', 'e449', 'e455', 'e456', 'e463', 'e464', 'e465', 'e471', 'e488', 'e490', 'e491', 'e492', 'e494', 'e495', 'e496', 'e497', 'e498', 'e499', 'e500', 'e502', 'e503', 'e504', 'e505', 'e509', 'e510', 'e511', 'e512', 'e513', 'e514', 'e515', 'e517', 'e521', 'e522', 'e523', 'e524', 'e525', 'e526', 'e535', 'e538', 'e540', 'e541', 'e543', 'e545', 'e548', 'e549', 'e550', 'e552', 'e553', 'e554', 'e557', 'e565', 'e572', 'e573', 'e575', 'e589', 'e591', 'e592', 'e595', 'e598', 'e599', 'e600', 'e603', 'e607', 'e608', 'e610', 'e611', 'e614', 'e615', 'e616', 'e619', 'e620', 'e626', 'e628', 'e638', 'e639']",e140,e140,v0066|v0357|v0550|v0882|v0943,1+,0,1,1,e195,a01|a07|a25,e140,s05063,a01|a07|a25
112,5093,s05093,blackNH,21to29,4,B/21+,24.87945205479452,"['e002', 'e004', 'e006', 'e007', 'e008', 'e013', 'e039', 'e040', 'e063', 'e070', 'e075', 'e081', 'e086', 'e093', 'e094', 'e096', 'e097', 'e099', 'e100', 'e105', 'e115', 'e121', 'e128', 'e133', 'e134', 'e137', 'e140', 'e148', 'e149', 'e153', 'e154', 'e155', 'e156', 'e157', 'e160', 'e164', 'e166', 'e171', 'e181', 'e184', 'e192', 'e193', 'e195', 'e197', 'e198', 'e199', 'e200', 'e202', 'e203', 'e204', 'e205', 'e206', 'e207', 'e208', 'e209', 'e211', 'e212', 'e214', 'e215', 'e216', 'e220', 'e223', 'e227', 'e229', 'e230', 'e233', 'e234', 'e235', 'e237', 'e238', 'e240', 'e242', 'e244', 'e246', 'e248', 'e254', 'e259', 'e265', 'e266', 'e268', 'e272', 'e278', 'e293', 'e294', 'e295', 'e315', 'e320', 'e325', 'e326', 'e333', 'e337', 'e339', 'e341', 'e342', 'e351', 'e357', 'e358', 'e360', 'e361', 'e364', 'e370', 'e372', 'e375', 'e380', 'e384', 'e388', 'e391', 'e396', 'e413', 'e417', 'e422', 'e426', 'e430', 'e437', 'e438', 'e439', 'e443', 'e444', 'e446', 'e449', 'e455', 'e456', 'e463', 'e464', 'e465', 'e471', 'e488', 'e490', 'e491', 'e492', 'e494', 'e495', 'e496', 'e497', 'e498', 'e499', 'e500', 'e502', 'e503', 'e504', 'e505', 'e509', 'e510', 'e511', 'e512', 'e513', 'e514', 'e515', 'e517', 'e521', 'e522', 'e523', 'e524', 'e525', 'e526', 'e535', 'e538', 'e540', 'e541', 'e543', 'e545', 'e548', 'e549', 'e550', 'e552', 'e553', 'e554', 'e557', 'e565', 'e572', 'e573', 'e575', 'e589', 'e591', 'e592', 'e595', 'e598', 'e599', 'e600', 'e603', 'e607', 'e608', 'e610', 'e611', 'e614', 'e615', 'e616', 'e619', 'e620', 'e626', 'e628', 'e638', 'e639']",e004,e004,v0004|v0049|v0158|v0296|v0308|v0310,0,0,0,0,e004,s05093,e171,a01|a05|a09|a11|a14|a19|a24|a32|a37|a43,a01|a05|a09|a11|a14|a19|a24|a32|a37|a43
141,5108,s05108,blackNH,21to29,4,B/21+,28.991780821917807,"['e002', 'e004', 'e006', 'e007', 'e008', 'e013', 'e039', 'e040', 'e063', 'e070', 'e075', 'e081', 'e086', 'e093', 'e094', 'e096', 'e097', 'e099', 'e100', 'e105', 'e115', 'e121', 'e128', 'e133', 'e134', 'e137', 'e140', 'e148', 'e149', 'e153', 'e154', 'e155', 'e156', 'e157', 'e160', 'e164', 'e166', 'e171', 'e181', 'e184', 'e192', 'e193', 'e195', 'e197', 'e198', 'e199', 'e200', 'e202', 'e203', 'e204', 'e205', 'e206', 'e207', 'e208', 'e209', 'e211', 'e212', 'e214', 'e215', 'e216', 'e220', 'e223', 'e227', 'e229', 'e230', 'e233', 'e234', 'e235', 'e237', 'e238', 'e240', 'e242', 'e244', 'e246', 'e248', 'e254', 'e259', 'e265', 'e266', 'e268', 'e272', 'e278', 'e293', 'e294', 'e295', 'e315', 'e320', 'e325', 'e326', 'e333', 'e337', 'e339', 'e341', 'e342', 'e351', 'e357', 'e358', 'e360', 'e361', 'e364', 'e370', 'e372', 'e375', 'e380', 'e384', 'e388', 'e391', 'e396', 'e413', 'e417', 'e422', 'e426', 'e430', 'e437', 'e438', 'e439', 'e443', 'e444', 'e446', 'e449', 'e455', 'e456', 'e463', 'e464', 'e465', 'e471', 'e488', 'e490', 'e491', 'e492', 'e494', 'e495', 'e496', 'e497', 'e498', 'e499', 'e500', 'e502', 'e503', 'e504', 'e505', 'e509', 'e510', 'e511', 'e512', 'e513', 'e514', 'e515', 'e517', 'e521', 'e522', 'e523', 'e524', 'e525', 'e526', 'e535', 'e538', 'e540', 'e541', 'e543', 'e545', 'e548', 'e549', 'e550', 'e552', 'e553', 'e554', 'e557', 'e565', 'e572', 'e573', 'e575', 'e589', 'e591', 'e592', 'e595', 'e598', 'e599', 'e600', 'e603', 'e607', 'e608', 'e610', 'e611', 'e614', 'e615', 'e616', 'e619', 'e620', 'e626', 'e628', 'e638', 'e639']",e215,e215,v0096|v0102|v0221|v1164,1+,0,1,1,e216,s05108,e215,s05108,s05108
22,5114,s05114,blackNH,21to29,4,B/21+,21.824657534246576,"['e002', 'e004', 'e006', 'e007', 'e008', 'e013', 'e039', 'e040', 'e063', 'e070', 'e075', 'e081', 'e086', 'e093', 'e094', 'e096', 'e097', 'e099', 'e100', 'e105', 'e115', 'e121', 'e128', 'e133', 'e134', 'e137', 'e140', 'e148', 'e149', 'e153', 'e154', 'e155', 'e156', 'e157', 'e160', 'e164', 'e166', 'e171', 'e181', 'e184', 'e192', 'e193', 'e195', 'e197', 'e198', 'e199', 'e200', 'e202', 'e203', 'e204', 'e205', 'e206', 'e207', 'e208', 'e209', 'e211', 'e212', 'e214', 'e215', 'e216', 'e220', 'e223', 'e227', 'e229', 'e230', 'e233', 'e234', 'e235', 'e237', 'e238', 'e240', 'e242', 'e244', 'e246', 'e248', 'e254', 'e259', 'e265', 'e266', 'e268', 'e272', 'e278', 'e293', 'e294', 'e295', 'e315', 'e320', 'e325', 'e326', 'e333', 'e337', 'e339', 'e341', 'e342', 'e351', 'e357', 'e358', 'e360', 'e361', 'e364', 'e370', 'e372', 'e375', 'e380', 'e384', 'e388', 'e391', 'e396', 'e413', 'e417', 'e422', 'e426', 'e430', 'e437', 'e438', 'e439', 'e443', 'e444', 'e446', 'e449', 'e455', 'e456', 'e463', 'e464', 'e465', 'e471', 'e488', 'e490', 'e491', 'e492', 'e494', 'e495', 'e496', 'e497', 'e498', 'e499', 'e500', 'e502', 'e503', 'e504', 'e505', 'e509', 'e510', 'e511', 'e512', 'e513', 'e514', 'e515', 'e517', 'e521', 'e522', 'e523', 'e524', 'e525', 'e526', 'e535', 'e538', 'e540', 'e541', 'e543', 'e545', 'e548', 'e549', 'e550', 'e552', 'e553', 'e554', 'e557', 'e565', 'e572', 'e573', 'e575', 'e589', 'e591', 'e592', 'e595', 'e598', 'e599', 'e600', 'e603', 'e607', 'e608', 'e610', 'e611', 'e614', 'e615', 'e616', 'e619', 'e620', 'e626', 'e628', 'e638', 'e639']",e100,e100,v0049,0,0,0,0,e100,a01,e199,s05114,s05114
480,5167,s05167,blackNH,21to29,4,B/21+,24.372602739726027,"['e002', 'e004', 'e006', 'e007', 'e008', 'e013', 'e039', 'e040', 'e063', 'e070', 'e075', 'e081', 'e086', 'e093', 'e094', 'e096', 'e097', 'e099', 'e100', 'e105', 'e115', 'e121', 'e128', 'e133', 'e134', 'e137', 'e140', 'e148', 'e149', 'e153', 'e154', 'e155', 'e156', 'e157', 'e160', 'e164', 'e166', 'e171', 'e181', 'e184', 'e192', 'e193', 'e195', 'e197', 'e198', 'e199', 'e200', 'e202', 'e203', 'e204', 'e205', 'e206', 'e207', 'e208', 'e209', 'e211', 'e212', 'e214', 'e215', 'e216', 'e220', 'e223', 'e227', 'e229', 'e230', 'e233', 'e234', 'e235', 'e237', 'e238', 'e240', 'e242', 'e244', 'e246', 'e248', 'e254', 'e259', 'e265', 'e266', 'e268', 'e272', 'e278', 'e293', 'e294', 'e295', 'e315', 'e320', 'e325', 'e326', 'e333', 'e337', 'e339', 'e341', 'e342', 'e351', 'e357', 'e358', 'e360', 'e361', 'e364', 'e370', 'e372', 'e375', 'e380', 'e384', 'e388', 'e391', 'e396', 'e413', 'e417', 'e422', 'e426', 'e430', 'e437', 'e438', 'e439', 'e443', 'e444', 'e446', 'e449', 'e455', 'e456', 'e463', 'e464', 'e465', 'e471', 'e488', 'e490', 'e491', 'e492', 'e494', 'e495', 'e496', 'e497', 'e498', 'e499', 'e500', 'e502', 'e503', 'e504', 'e505', 'e509', 'e510', 'e511', 'e512', 'e513', 'e514', 'e515', 'e517', 'e521', 'e522', 'e523', 'e524', 'e525', 'e526', 'e535', 'e538', 'e540', 'e541', 'e543', 'e545', 'e548', 'e549', 'e550', 'e552', 'e553', 'e554', 'e557', 'e565', 'e572', 'e573', 'e575', 'e589', 'e591', 'e592', 'e595', 'e598', 'e599', 'e600', 'e603', 'e607', 'e608', 'e610', 'e611', 'e614', 'e615', 'e616', 'e619', 'e620', 'e626', 'e628', 'e638', 'e639']",e598,e598,v0955|v0993,0,1,1,1,e575,a01|a05|a14,e598,a05|a18,a01|a05|a14
179,5171,s05171,blackNH,21to29,4,B/21+,24.56164383561644,"['e002', 'e004', 'e006', 'e007', 'e008', 'e013', 'e039', 'e040', 'e063', 'e070', 'e075', 'e081', 'e086', 'e093', 'e094', 'e096', 'e097', 'e099', 'e100', 'e105', 'e115', 'e121', 'e128', 'e133', 'e134', 'e137', 'e140', 'e148', 'e149', 'e153', 'e154', 'e155', 'e156', 'e157', 'e160', 'e164', 'e166', 'e171', 'e181', 'e184', 'e192', 'e193', 'e195', 'e197', 'e198', 'e199', 'e200', 'e202', 'e203', 'e204', 'e205', 'e206', 'e207', 'e208', 'e209', 'e211', 'e212', 'e214', 'e215', 'e216', 'e220', 'e223', 'e227', 'e229', 'e230', 'e233', 'e234', 'e235', 'e237', 'e238', 'e240', 'e242', 'e244', 'e246', 'e248', 'e254', 'e259', 'e265', 'e266', 'e268', 'e272', 'e278', 'e293', 'e294', 'e295', 'e315', 'e320', 'e325', 'e326', 'e333', 'e337', 'e339', 'e341', 'e342', 'e351', 'e357', 'e358', 'e360', 'e361', 'e364', 'e370', 'e372', 'e375', 'e380', 'e384', 'e388', 'e391', 'e396', 'e413', 'e417', 'e422', 'e426', 'e430', 'e437', 'e438', 'e439', 'e443', 'e444', 'e446', 'e449', 'e455', 'e456', 'e463', 'e464', 'e465', 'e471', 'e488', 'e490', 'e491', 'e492', 'e494', 'e495', 'e496', 'e497', 'e498', 'e499', 'e500', 'e502', 'e503', 'e504', 'e505', 'e509', 'e510', 'e511', 'e512', 'e513', 'e514', 'e515', 'e517', 'e521', 'e522', 'e523', 'e524', 'e525', 'e526', 'e535', 'e538', 'e540', 'e541', 'e543', 'e545', 'e548', 'e549', 'e550', 'e552', 'e553', 'e554', 'e557', 'e565', 'e572', 'e573', 'e575', 'e589', 'e591', 'e592', 'e595', 'e598', 'e599', 'e600', 'e603', 'e607', 'e608', 'e610', 'e611', 'e614', 'e615', 'e616', 'e619', 'e620', 'e626', 'e628', 'e638', 'e639']",e215,e215,v0096|v0102|v0221|v1164,1+,0,1,1,e207,a05,e215,s05171,a05
484,5200,s05200,blackNH,21to29,4,B/21+,29.72328767123288,"['e002', 'e004', 'e006', 'e007', 'e008', 'e013', 'e039', 'e040', 'e063', 'e070', 'e075', 'e081', 'e086', 'e093', 'e094', 'e096', 'e097', 'e099', 'e100', 'e105', 'e115', 'e121', 'e128', 'e133', 'e134', 'e137', 'e140', 'e148', 'e149', 'e153', 'e154', 'e155', 'e156', 'e157', 'e160', 'e164', 'e166', 'e171', 'e181', 'e184', 'e192', 'e193', 'e195', 'e197', 'e198', 'e199', 'e200', 'e202', 'e203', 'e204', 'e205', 'e206', 'e207', 'e208', 'e209', 'e211', 'e212', 'e214', 'e215', 'e216', 'e220', 'e223', 'e227', 'e229', 'e230', 'e233', 'e234', 'e235', 'e237', 'e238', 'e240', 'e242', 'e244', 'e246', 'e248', 'e254', 'e259', 'e265', 'e266', 'e268', 'e272', 'e278', 'e293', 'e294', 'e295', 'e315', 'e320', 'e325', 'e326', 'e333', 'e337', 'e339', 'e341', 'e342', 'e351', 'e357', 'e358', 'e360', 'e361', 'e364', 'e370', 'e372', 'e375', 'e380', 'e384', 'e388', 'e391', 'e396', 'e413', 'e417', 'e422', 'e426', 'e430', 'e437', 'e438', 'e439', 'e443', 'e444', 'e446', 'e449', 'e455', 'e456', 'e463', 'e464', 'e465', 'e471', 'e488', 'e490', 'e491', 'e492', 'e494', 'e495', 'e496', 'e497', 'e498', 'e499', 'e500', 'e502', 'e503', 'e504', 'e505', 'e509', 'e510', 'e511', 'e512', 'e513', 'e514', 'e515', 'e517', 'e521', 'e522', 'e523', 'e524', 'e525', 'e526', 'e535', 'e538', 'e540', 'e541', 'e543', 'e545', 'e548', 'e549', 'e550', 'e552', 'e553', 'e554', 'e557', 'e565', 'e572', 'e573', 'e575', 'e589', 'e591', 'e592', 'e595', 'e598', 'e599', 'e600', 'e603', 'e607', 'e608', 'e610', 'e611', 'e614', 'e615', 'e616', 'e619', 'e620', 'e626', 'e628', 'e638', 'e639']",e342,e342,v0221|v0504|v0556|v0996,0,0,0,0,e342,a08|a16,e293,a01|a05|a07|a09|a19,a01|a05|a07|a09|a19
13,5209,s05209,blackNH,21to29,4,B/21+,22.753424657534246,"['e002', 'e004', 'e006', 'e007', 'e008', 'e013', 'e039', 'e040', 'e063', 'e070', 'e075', 'e081', 'e086', 'e093', 'e094', 'e096', 'e097', 'e099', 'e100', 'e105', 'e115', 'e121', 'e128', 'e133', 'e134', 'e137', 'e140', 'e148', 'e149', 'e153', 'e154', 'e155', 'e156', 'e157', 'e160', 'e164', 'e166', 'e171', 'e181', 'e184', 'e192', 'e193', 'e195', 'e197', 'e198', 'e199', 'e200', 'e202', 'e203', 'e204', 'e205', 'e206', 'e207', 'e208', 'e209', 'e211', 'e212', 'e214', 'e215', 'e216', 'e220', 'e223', 'e227', 'e229', 'e230', 'e233', 'e234', 'e235', 'e237', 'e238', 'e240', 'e242', 'e244', 'e246', 'e248', 'e254', 'e259', 'e265', 'e266', 'e268', 'e272', 'e278', 'e293', 'e294', 'e295', 'e315', 'e320', 'e325', 'e326', 'e333', 'e337', 'e339', 'e341', 'e342', 'e351', 'e357', 'e358', 'e360', 'e361', 'e364', 'e370', 'e372', 'e375', 'e380', 'e384', 'e388', 'e391', 'e396', 'e413', 'e417', 'e422', 'e426', 'e430', 'e437', 'e438', 'e439', 'e443', 'e444', 'e446', 'e449', 'e455', 'e456', 'e463', 'e464', 'e465', 'e471', 'e488', 'e490', 'e491', 'e492', 'e494', 'e495', 'e496', 'e497', 'e498', 'e499', 'e500', 'e502', 'e503', 'e504', 'e505', 'e509', 'e510', 'e511', 'e512', 'e513', 'e514', 'e515', 'e517', 'e521', 'e522', 'e523', 'e524', 'e525', 'e526', 'e535', 'e538', 'e540', 'e541', 'e543', 'e545', 'e548', 'e549', 'e550', 'e552', 'e553', 'e554', 'e557', 'e565', 'e572', 'e573', 'e575', 'e589', 'e591', 'e592', 'e595', 'e598', 'e599', 'e600', 'e603', 'e607', 'e608', 'e610', 'e611', 'e614', 'e615', 'e616', 'e619', 'e620', 'e626', 'e628', 'e638', 'e639']",e620,e620,v0975|v0994|v1113,1+,0,1,1,e004,s05209,e620,s05209,s05209
